Time (s),Pack Voltage (V),Pack Current (A),Pack Power (kW),Avg Cell Temperature (C),SOC (%),Max Cell Voltage (V),Min Cell Voltage (V),Max Cell Resistance (mOhm)
4.06,363.7,118,42.75,44.8,96.84,4.03,3.52,48.91
4.07,384.6,130,49.90,45.0,92.26,4.10,3.27,32.15
4.08,383.8,138,53.05,39.0,82.58,3.91,3.38,49.79
4.09,335.9,80,26.79,48.1,83.94,4.20,3.42,16.10
4.10,334.8,160,53.56,47.5,80.16,3.97,3.64,44.30
4.11,307.8,185,56.98,32.8,98.72,3.78,3.29,35.49
4.12,330.6,152,50.26,40.9,95.76,3.95,3.52,15.73
4.13,344.9,247,85.12,28.5,94.81,4.13,3.34,21.11
4.14,315.1,272,85.62,39.3,93.29,4.09,3.29,29.92
4.15,387.9,279,108.12,38.1,85.23,4.07,3.35,40.40
4.16,381.2,102,38.83,25.8,84.84,4.11,3.52,12.14
4.17,371.1,110,40.82,32.3,89.82,3.80,3.70,45.96
4.18,365.3,208,76.10,28.0,93.63,3.89,3.41,47.08
4.19,365.4,245,89.60,28.1,87.61,4.20,3.63,27.08
4.20,349.3,73,25.62,35.8,95.08,4.04,3.51,35.47
4.21,358.0,73,26.13,35.0,80.61,3.88,3.59,27.61
4.22,364.7,109,39.75,25.2,91.78,4.11,3.40,19.06
4.23,328.2,134,44.10,37.4,87.14,3.76,3.28,16.36
4.24,342.6,280,96.03,45.8,96.72,3.81,3.39,18.71
4.25,314.7,271,85.13,42.1,90.59,4.01,3.57,12.92
4.26,354.1,242,85.77,39.5,80.46,3.88,3.46,10.26
4.27,354.5,75,26.44,43.7,83.64,3.97,3.60,18.47
4.28,375.6,287,107.67,31.9,91.07,3.98,3.46,16.14
4.29,317.1,209,66.36,25.8,82.97,4.00,3.59,30.01
4.30,335.4,159,53.34,21.8,83.71,3.87,3.62,39.61
4.31,356.9,282,100.74,30.0,95.23,3.87,3.62,45.25
4.32,382.3,68,25.83,39.6,93.55,3.91,3.70,25.64
4.33,393.5,135,53.16,49.3,81.51,4.09,3.24,24.82
4.34,313.2,164,51.38,46.2,95.15,3.83,3.45,17.64
4.35,366.2,233,85.29,49.9,84.07,3.72,3.46,17.48
4.36,301.8,66,19.82,43.8,84.09,3.86,3.56,23.93
4.37,356.7,185,66.06,34.1,83.44,3.81,3.65,26.74
4.38,309.6,71,21.95,23.3,91.05,3.82,3.52,27.48
4.39,347.3,165,57.27,20.1,81.64,4.02,3.35,16.42
4.40,333.9,214,71.52,34.2,87.58,3.97,3.60,46.72
4.41,327.7,96,31.47,46.1,89.18,4.02,3.69,32.59
4.42,391.6,151,59.06,37.6,80.95,3.90,3.31,32.66
4.43,364.8,272,99.13,39.5,96.26,3.75,3.33,31.79
4.44,360.3,247,89.00,23.7,93.59,3.99,3.61,19.13
4.45,388.4,299,116.27,43.8,93.64,4.15,3.45,42.73
4.46,390.0,110,42.81,22.8,91.73,3.87,3.26,32.29
4.47,305.6,155,47.26,21.0,84.98,4.16,3.40,37.63
4.48,377.0,256,96.37,37.0,88.66,3.93,3.51,36.97
4.49,339.6,237,80.54,43.4,81.31,4.12,3.53,11.26
4.50,340.6,248,84.53,31.0,89.83,3.84,3.33,39.94
4.51,364.8,189,69.08,26.8,95.08,4.14,3.21,31.88
4.52,337.0,72,24.21,32.9,93.28,4.00,3.43,14.56
4.53,317.5,107,33.84,27.5,89.03,3.76,3.63,30.14
4.54,349.1,129,44.89,35.6,90.26,3.97,3.44,36.02
4.55,362.6,217,78.83,42.7,92.91,4.12,3.23,14.89
4.56,326.5,135,44.09,40.4,91.53,3.89,3.64,11.06
4.57,366.1,137,50.26,32.0,84.82,4.10,3.24,19.23
4.58,356.6,79,28.18,21.2,82.90,4.00,3.58,16.29
4.59,324.3,226,73.39,27.2,86.84,3.93,3.25,39.76
4.60,341.8,218,74.55,20.6,94.95,4.00,3.20,46.40
4.61,388.6,193,74.84,46.2,94.83,3.71,3.46,43.17
4.62,396.5,80,31.68,28.1,94.73,4.00,3.49,12.37
4.63,355.4,229,81.54,35.0,84.84,4.05,3.22,10.88
4.64,363.5,159,57.94,27.0,98.49,3.82,3.56,19.73
4.65,367.7,146,53.56,34.8,84.08,4.16,3.54,37.21
4.66,354.6,91,32.35,32.1,91.75,4.08,3.54,21.11
4.67,358.6,292,104.85,38.2,97.07,3.94,3.36,44.57
4.68,395.5,180,71.02,35.2,97.95,3.71,3.26,20.05
4.69,313.3,210,65.83,44.5,95.72,3.80,3.41,21.55
4.70,373.7,244,91.33,36.0,93.64,3.75,3.51,10.32
4.71,355.3,74,26.36,39.6,98.59,4.02,3.33,11.98
4.72,346.8,207,71.85,22.1,95.08,4.00,3.51,38.88
4.73,386.4,297,114.85,29.2,97.98,3.92,3.49,26.52
4.74,352.4,197,69.33,44.0,91.46,4.07,3.21,43.95
4.75,319.2,68,21.82,25.1,87.56,3.85,3.27,26.07
4.76,342.2,263,89.84,49.0,87.80,3.77,3.60,36.59
4.77,301.2,237,71.23,20.9,91.94,3.80,3.42,44.90
4.78,378.9,106,40.33,43.5,93.32,4.17,3.40,11.14
4.79,351.0,263,92.44,30.7,97.90,4.08,3.60,21.03
4.80,355.5,275,97.73,31.3,85.84,3.96,3.54,27.71
4.81,313.9,135,42.25,35.3,85.78,3.81,3.33,30.51
4.82,384.1,242,93.13,49.3,90.70,3.91,3.21,26.13
4.83,384.8,147,56.57,41.4,87.12,3.83,3.51,46.46
4.84,399.7,203,81.06,34.9,87.78,3.70,3.51,28.25
4.85,384.7,214,82.25,29.1,93.68,3.82,3.49,36.01
4.86,388.7,119,46.11,31.3,94.45,4.12,3.44,36.77
4.87,308.4,145,44.75,30.8,86.65,3.81,3.26,38.31
4.88,351.1,216,75.89,48.1,85.23,4.17,3.43,15.67
4.89,372.7,53,19.91,47.0,84.53,3.88,3.67,49.77
4.90,311.5,218,67.85,45.5,83.52,3.97,3.32,48.41
4.91,311.4,134,41.62,39.0,88.29,4.13,3.58,46.53
4.92,323.1,84,27.09,21.7,95.53,3.96,3.33,23.41
4.93,399.1,142,56.73,32.7,86.00,4.15,3.45,16.40
4.94,326.1,169,55.19,34.9,89.76,3.93,3.36,48.76
4.95,370.9,177,65.68,24.7,93.56,3.76,3.33,25.91
4.96,333.0,126,41.86,45.4,81.78,3.84,3.59,29.86
4.97,387.8,261,101.20,33.5,96.85,3.85,3.37,14.95
4.98,330.3,157,51.96,46.3,92.96,3.82,3.30,44.11
4.99,385.8,84,32.51,47.8,87.97,3.98,3.23,30.87
5.00,362.7,275,99.71,23.0,87.93,3.70,3.23,36.44
5.01,306.6,194,59.39,26.3,92.19,3.84,3.37,25.30
5.02,363.3,62,22.38,39.4,83.03,3.71,3.28,26.25
5.03,307.9,120,36.99,20.9,97.51,4.17,3.43,28.89
5.04,316.6,280,88.68,40.7,94.43,3.84,3.21,20.04
5.05,394.4,138,54.38,33.4,86.14,4.06,3.47,19.49
5.06,385.4,216,83.39,21.2,99.28,3.77,3.46,18.97
5.07,309.1,120,37.22,27.4,91.02,3.75,3.64,31.93
5.08,361.9,67,24.29,35.6,81.07,3.90,3.61,46.00
5.09,365.4,180,65.77,46.6,99.92,4.04,3.63,37.56
5.10,369.5,100,36.85,45.3,85.90,3.89,3.62,18.98
5.11,361.5,298,107.67,47.3,96.22,3.74,3.58,13.00
5.12,363.9,161,58.60,25.1,83.70,4.13,3.35,23.00
5.13,328.3,281,92.35,27.6,86.58,3.84,3.53,18.01
5.14,314.5,88,27.60,49.0,88.95,3.87,3.43,25.84
5.15,308.3,150,46.38,27.7,94.34,4.17,3.54,10.16
5.16,307.7,202,62.26,27.3,86.36,4.17,3.29,10.61
5.17,307.6,229,70.51,44.3,96.60,3.91,3.52,26.48
5.18,327.4,198,64.80,49.0,82.16,4.12,3.69,28.79
5.19,384.0,286,109.79,30.9,94.71,4.06,3.36,32.25
5.20,304.2,279,84.76,34.0,98.25,3.89,3.54,18.23
5.21,331.6,53,17.44,20.3,86.67,3.96,3.61,12.79
5.22,343.4,89,30.66,38.5,98.21,3.79,3.21,42.36
5.23,381.0,123,46.71,38.3,82.29,3.85,3.43,19.47
5.24,366.6,270,98.90,37.5,84.56,3.77,3.47,11.33
5.25,380.3,136,51.61,47.5,80.99,3.72,3.60,48.31
5.26,358.1,289,103.43,43.2,86.40,4.12,3.50,26.25
5.27,378.6,237,89.59,44.8,90.83,4.05,3.33,19.30
5.28,362.4,265,95.94,43.9,81.60,4.09,3.22,36.01
5.29,313.1,157,49.19,23.2,87.32,4.06,3.68,35.26
5.30,381.4,225,85.75,45.8,82.57,4.09,3.27,19.15
5.31,333.5,259,86.28,43.8,89.20,3.77,3.28,45.18
5.32,313.3,239,74.96,40.6,89.02,4.06,3.30,17.14
5.33,348.4,80,27.90,49.1,85.12,3.82,3.55,28.01
5.34,352.7,217,76.60,48.6,82.27,3.88,3.31,48.89
5.35,304.7,291,88.69,32.4,98.34,4.15,3.70,21.55
5.36,302.4,51,15.32,38.6,93.05,3.77,3.31,49.94
5.37,367.1,155,56.81,47.5,80.28,3.82,3.47,23.21
5.38,357.9,273,97.66,46.2,90.82,3.97,3.31,42.34
5.39,316.6,260,82.41,30.4,95.42,3.73,3.25,13.42
5.40,379.3,118,44.89,36.0,96.32,4.10,3.26,28.40
5.41,311.8,137,42.84,38.1,81.97,3.97,3.47,44.23
5.42,325.0,60,19.38,23.0,82.56,3.86,3.38,28.73
5.43,307.3,185,56.91,31.3,87.04,3.81,3.46,44.32
5.44,316.1,118,37.44,46.5,81.66,4.13,3.24,45.13
5.45,314.6,145,45.72,25.9,88.77,3.98,3.26,28.45
5.46,354.2,117,41.51,33.3,80.14,3.86,3.22,46.66
5.47,380.3,112,42.43,39.3,94.67,3.83,3.39,38.81
5.48,373.3,89,33.38,33.9,91.44,3.90,3.40,48.25
5.49,307.6,230,70.89,20.5,93.46,3.97,3.21,14.16
5.50,365.7,276,100.77,40.7,95.18,4.09,3.70,31.24
5.51,327.2,283,92.73,30.4,97.97,3.96,3.23,24.35
5.52,302.7,110,33.20,30.5,91.96,3.85,3.62,26.53
5.53,322.4,233,75.26,46.0,83.08,3.83,3.45,28.64
5.54,354.7,157,55.58,30.0,95.77,4.19,3.29,15.82
5.55,334.4,288,96.42,49.2,89.87,4.00,3.61,28.42
5.56,322.4,80,25.70,40.2,97.63,4.03,3.40,11.94
5.57,348.3,217,75.46,22.3,84.85,4.11,3.35,27.34
5.58,316.8,256,81.05,38.1,90.07,3.95,3.67,39.00
5.59,350.7,53,18.53,23.3,91.05,3.76,3.59,37.33
5.60,328.5,144,47.17,23.1,93.72,4.18,3.22,49.98
5.61,361.5,98,35.48,28.2,92.16,4.15,3.49,12.56
5.62,376.0,115,43.12,36.4,83.12,3.76,3.34,17.03
5.63,313.0,142,44.60,49.7,82.15,3.76,3.33,38.69
5.64,310.8,191,59.34,29.9,90.63,3.89,3.52,17.91
5.65,329.2,293,96.35,36.7,97.01,4.07,3.48,32.13
5.66,363.1,133,48.33,46.9,91.90,4.02,3.37,39.86
5.67,375.3,191,71.71,31.9,80.15,3.95,3.45,16.21
5.68,300.4,78,23.58,37.4,96.90,3.81,3.56,30.30
5.69,362.9,286,103.73,22.3,90.46,3.73,3.27,28.72
5.70,328.8,297,97.72,29.2,87.67,3.84,3.39,29.98
5.71,303.7,74,22.40,35.4,89.53,3.74,3.21,24.20
5.72,399.9,283,113.25,35.7,97.66,4.13,3.68,21.51
5.73,385.7,295,113.62,20.2,90.42,3.78,3.68,10.07
5.74,338.9,255,86.33,22.2,91.92,4.10,3.56,28.58
5.75,357.6,73,25.98,38.7,84.46,4.14,3.37,48.68
5.76,301.9,66,20.07,31.1,82.85,3.86,3.62,35.18
5.77,301.1,188,56.66,39.2,83.88,4.11,3.61,27.26
5.78,301.0,125,37.64,45.9,82.52,3.99,3.45,35.93
5.79,327.6,160,52.42,46.4,85.59,4.05,3.25,26.96
5.80,384.2,275,105.60,39.8,99.46,3.89,3.54,43.51
5.81,391.2,209,81.89,31.4,96.81,4.15,3.51,25.14
5.82,326.6,158,51.67,32.1,99.42,3.75,3.68,32.61
5.83,379.1,241,91.17,22.9,86.17,3.78,3.54,39.72
5.84,362.6,172,62.36,45.9,92.38,3.83,3.60,16.75
5.85,365.3,295,107.75,26.6,88.74,4.13,3.40,13.91
5.86,366.3,171,62.62,28.6,93.66,3.76,3.57,10.40
5.87,300.7,170,51.00,29.3,91.88,4.13,3.27,12.06
5.88,313.7,191,59.82,39.9,84.57,3.70,3.65,21.46
5.89,314.9,179,56.33,26.6,92.62,3.78,3.60,34.51
5.90,345.3,95,32.92,36.0,84.78,3.92,3.47,15.11
5.91,327.8,253,82.93,38.8,80.66,3.72,3.33,34.75
5.92,301.0,189,56.74,20.8,88.09,3.87,3.64,30.64
5.93,341.7,189,64.59,26.3,97.15,3.95,3.29,30.55
5.94,396.8,66,26.17,21.6,99.17,3.73,3.50,32.16
5.95,329.7,244,80.36,30.7,88.36,3.90,3.24,44.37
5.96,375.1,60,22.47,25.9,99.06,3.88,3.37,15.58
5.97,396.1,99,39.27,26.8,96.40,3.75,3.65,11.45
5.98,362.5,131,47.59,31.4,98.80,4.03,3.39,22.39
5.99,374.8,193,72.44,22.2,99.78,3.87,3.67,38.51
